Purchase Budget,House Age,Number of Bedrooms (BHK),Area's Resident Population,City,Furnishing Status,Price
3568717,14,2.5,79236,Thiruvananthapuram,Semi-furnished,3955044
3624627,14,2.5,69101,Thiruvananthapuram,Unfurnished,3795239
4023910,15,2.5,78017,Thiruvananthapuram,Fully furnished,4427309
3451115,15,2.5,5951,Thiruvananthapuram,Semi-furnished,3653440
3425806,15,2.5,60752,Thiruvananthapuram,Unfurnished,3574767
4026641,0,3,76320,Thiruvananthapuram,Fully furnished,5148151
4050440,0,3,37254,Thiruvananthapuram,Semi-furnished,4900293
4608862,0,3,9018,Thiruvananthapuram,Unfurnished,5082575
4517439,1,3,7763,Thiruvananthapuram,Fully furnished,5347332
4438736,1,3,24173,Thiruvananthapuram,Semi-furnished,5143620
4479101,1,3,25,Thiruvananthapuram,Unfurnished,4941172
4585309,2,3,95760,Thiruvananthapuram,Fully furnished,5567507
4294275,2,3,57820,Thiruvananthapuram,Semi-furnished,5082853
4291653,2,3,54268,Thiruvananthapuram,Unfurnished,4893046
4532614,3,3,34706,Thiruvananthapuram,Fully furnished,5366140
4096754,3,3,92428,Thiruvananthapuram,Semi-furnished,4981875
4424725,3,3,85008,Thiruvananthapuram,Unfurnished,5034809
4163356,4,3,89875,Thiruvananthapuram,Fully furnished,5177876
4435161,4,3,90392,Thiruvananthapuram,Semi-furnished,5205585
4319144,4,3,54473,Thiruvananthapuram,Unfurnished,4858390
4994949,5,3,38933,Thiruvananthapuram,Fully furnished,5666814
4770662,5,3,84404,Thiruvananthapuram,Semi-furnished,5416392
4931519,5,3,17957,Thiruvananthapuram,Unfurnished,5212460
4765973,6,3,44241,Thiruvananthapuram,Fully furnished,5471470
4531531,6,3,88897,Thiruvananthapuram,Semi-furnished,5211537
4060404,6,3,7389,Thiruvananthapuram,Unfurnished,4494163
4880542,7,3,14957,Thiruvananthapuram,Fully furnished,5459117
4975523,7,3,18420,Thiruvananthapuram,Semi-furnished,5358921
4104623,7,3,78824,Thiruvananthapuram,Unfurnished,4649926
4727354,8,3,84393,Thiruvananthapuram,Fully furnished,5458454
4422459,8,3,76069,Thiruvananthapuram,Semi-furnished,5028421
4913447,8,3,72918,Thiruvananthapuram,Unfurnished,5214639
4244545,9,3,96035,Thiruvananthapuram,Fully furnished,5078131
4223759,9,3,1269,Thiruvananthapuram,Semi-furnished,4673849
4911547,9,3,70258,Thiruvananthapuram,Unfurnished,5168343
4026641,10,3,76320,Thiruvananthapuram,Fully furnished,4828151
4050440,10,3,37254,Thiruvananthapuram,Semi-furnished,4580293
4608862,10,3,9018,Thiruvananthapuram,Unfurnished,4762575
4517439,11,3,7763,Thiruvananthapuram,Fully furnished,5007332
4438736,11,3,24173,Thiruvananthapuram,Semi-furnished,4803620
4479101,11,3,25,Thiruvananthapuram,Unfurnished,4601172
4585309,12,3,95760,Thiruvananthapuram,Fully furnished,5207507
4294275,12,3,57820,Thiruvananthapuram,Semi-furnished,4722853
4291653,12,3,54268,Thiruvananthapuram,Unfurnished,4533046
4532614,13,3,34706,Thiruvananthapuram,Fully furnished,4986140
4096754,13,3,92428,Thiruvananthapuram,Semi-furnished,4601875
4424725,13,3,85008,Thiruvananthapuram,Unfurnished,4654809
4163356,14,3,89875,Thiruvananthapuram,Fully furnished,4777876
4435161,14,3,90392,Thiruvananthapuram,Semi-furnished,4805585
4319144,14,3,54473,Thiruvananthapuram,Unfurnished,4458390
4994949,15,3,38933,Thiruvananthapuram,Fully furnished,5246814
4770662,15,3,84404,Thiruvananthapuram,Semi-furnished,4996392
4931519,15,3,17957,Thiruvananthapuram,Unfurnished,4792460
4671253,0,3.5,5912,Thiruvananthapuram,Fully furnished,5665659
5086758,0,3.5,83998,Thiruvananthapuram,Semi-furnished,5973232
4616543,0,3.5,57007,Thiruvananthapuram,Unfurnished,5376488
4836820,1,3.5,47883,Thiruvananthapuram,Fully furnished,5860826
5519147,1,3.5,4840,Thiruvananthapuram,Semi-furnished,6104700
4954762,1,3.5,55983,Thiruvananthapuram,Unfurnished,5608282
4686140,2,3.5,89275,Thiruvananthapuram,Fully furnished,5812371
5514305,2,3.5,92099,Thiruvananthapuram,Semi-furnished,6267990
5162616,2,3.5,55878,Thiruvananthapuram,Unfurnished,5741020
5023160,3,3.5,83869,Thiruvananthapuram,Fully furnished,6029613
4994923,3,3.5,23472,Thiruvananthapuram,Semi-furnished,5695280
4811302,3,3.5,23671,Thiruvananthapuram,Unfurnished,5376166
4800957,4,3.5,11280,Thiruvananthapuram,Fully furnished,5672043
5006718,4,3.5,57096,Thiruvananthapuram,Semi-furnished,5749217
5535286,4,3.5,73547,Thiruvananthapuram,Unfurnished,6007121
4663442,5,3.5,72483,Thiruvananthapuram,Fully furnished,5671179
5539919,5,3.5,64834,Thiruvananthapuram,Semi-furnished,6140473
4771798,5,3.5,76049,Thiruvananthapuram,Unfurnished,5401374
5480061,6,3.5,7514,Thiruvananthapuram,Fully furnished,6115877
5268023,6,3.5,85089,Thiruvananthapuram,Semi-furnished,5945393
5521352,6,3.5,28315,Thiruvananthapuram,Unfurnished,5833021
5414979,7,3.5,92581,Thiruvananthapuram,Fully furnished,6218562
4635383,7,3.5,97240,Thiruvananthapuram,Semi-furnished,5456319
5354091,7,3.5,80752,Thiruvananthapuram,Unfurnished,5786264
5392107,8,3.5,64118,Thiruvananthapuram,Fully furnished,6101561
5207410,8,3.5,90832,Thiruvananthapuram,Semi-furnished,5839962
5382468,8,3.5,98110,Thiruvananthapuram,Unfurnished,5809018
5161523,9,3.5,40681,Thiruvananthapuram,Fully furnished,5835756
5364618,9,3.5,84581,Thiruvananthapuram,Semi-furnished,5906688
4656349,9,3.5,41204,Thiruvananthapuram,Unfurnished,5092974
4671253,10,3.5,5912,Thiruvananthapuram,Fully furnished,5345659
5086758,10,3.5,83998,Thiruvananthapuram,Semi-furnished,5653232
4616543,10,3.5,57007,Thiruvananthapuram,Unfurnished,5056488
4836820,11,3.5,47883,Thiruvananthapuram,Fully furnished,5520826
5519147,11,3.5,4840,Thiruvananthapuram,Semi-furnished,5764700
4954762,11,3.5,55983,Thiruvananthapuram,Unfurnished,5268282
4686140,12,3.5,89275,Thiruvananthapuram,Fully furnished,5452371
5514305,12,3.5,92099,Thiruvananthapuram,Semi-furnished,5907990
5162616,12,3.5,55878,Thiruvananthapuram,Unfurnished,5381020
5023160,13,3.5,83869,Thiruvananthapuram,Fully furnished,5649613
4994923,13,3.5,23472,Thiruvananthapuram,Semi-furnished,5315280
4811302,13,3.5,23671,Thiruvananthapuram,Unfurnished,4996166
4800957,14,3.5,11280,Thiruvananthapuram,Fully furnished,5272043
5006718,14,3.5,57096,Thiruvananthapuram,Semi-furnished,5349217
5535286,14,3.5,73547,Thiruvananthapuram,Unfurnished,5607121
4663442,15,3.5,72483,Thiruvananthapuram,Fully furnished,5251179
5539919,15,3.5,64834,Thiruvananthapuram,Semi-furnished,5720473
4771798,15,3.5,76049,Thiruvananthapuram,Unfurnished,4981374
5277059,0,4,3926,Thiruvananthapuram,Fully furnished,6319202
6147356,0,4,21598,Thiruvananthapuram,Semi-furnished,6839506
5583331,0,4,653,Thiruvananthapuram,Unfurnished,6184768
5954240,1,4,82577,Thiruvananthapuram,Fully furnished,6983892
6160402,1,4,1139,Thiruvananthapuram,Semi-furnished,6781411
5974464,1,4,87493,Thiruvananthapuram,Unfurnished,6650077
5486216,2,4,34807,Thiruvananthapuram,Fully furnished,6498100
5895381,2,4,28807,Thiruvananthapuram,Semi-furnished,6615865
6122052,2,4,81507,Thiruvananthapuram,Unfurnished,6724075
6017202,3,4,81685,Thiruvananthapuram,Fully furnished,6977781
5585696,3,4,58787,Thiruvananthapuram,Semi-furnished,6419460
5476681,3,4,24823,Thiruvananthapuram,Unfurnished,6081888
5603015,4,4,90428,Thiruvananthapuram,Fully furnished,6653233
5697461,4,4,89283,Thiruvananthapuram,Semi-furnished,6542493
5738237,4,4,84031,Thiruvananthapuram,Unfurnished,6381928
5324789,5,4,98234,Thiruvananthapuram,Fully furnished,6427954
5822753,5,4,72097,Thiruvananthapuram,Semi-furnished,6568906
5549242,5,4,98723,Thiruvananthapuram,Unfurnished,6239615
5436187,6,4,82666,Thiruvananthapuram,Fully furnished,6445367
6187537,6,4,9811,Thiruvananthapuram,Semi-furnished,6676112
5951197,6,4,51800,Thiruvananthapuram,Unfurnished,6408870
5927467,7,4,72570,Thiruvananthapuram,Fully furnished,6761529
5563827,7,4,42213,Thiruvananthapuram,Semi-furnished,6238377
6141795,7,4,12059,Thiruvananthapuram,Unfurnished,6431294
5485647,8,4,38082,Thiruvananthapuram,Fully furnished,6312872
5963764,8,4,32773,Thiruvananthapuram,Semi-furnished,6484561
6147053,8,4,89256,Thiruvananthapuram,Unfurnished,6568123
5986195,9,4,68523,Thiruvananthapuram,Fully furnished,6721259
6165889,9,4,12423,Thiruvananthapuram,Semi-furnished,6554406
5580252,9,4,65534,Thiruvananthapuram,Unfurnished,6046166
5277059,10,4,3926,Thiruvananthapuram,Fully furnished,5999202
6147356,10,4,21598,Thiruvananthapuram,Semi-furnished,6519506
5583331,10,4,653,Thiruvananthapuram,Unfurnished,5864768
5954240,11,4,82577,Thiruvananthapuram,Fully furnished,6643892
6160402,11,4,1139,Thiruvananthapuram,Semi-furnished,6441411
5974464,11,4,87493,Thiruvananthapuram,Unfurnished,6310077
5486216,12,4,34807,Thiruvananthapuram,Fully furnished,6138100
5895381,12,4,28807,Thiruvananthapuram,Semi-furnished,6255865
6122052,12,4,81507,Thiruvananthapuram,Unfurnished,6364075
6017202,13,4,81685,Thiruvananthapuram,Fully furnished,6597781
5585696,13,4,58787,Thiruvananthapuram,Semi-furnished,6039460
5476681,13,4,24823,Thiruvananthapuram,Unfurnished,5701888
5603015,14,4,90428,Thiruvananthapuram,Fully furnished,6253233
5697461,14,4,89283,Thiruvananthapuram,Semi-furnished,6142493
5738237,14,4,84031,Thiruvananthapuram,Unfurnished,5981928
5324789,15,4,98234,Thiruvananthapuram,Fully furnished,6007954
5822753,15,4,72097,Thiruvananthapuram,Semi-furnished,6148906
5549242,15,4,98723,Thiruvananthapuram,Unfurnished,5819615
6120049,0,4.5,34095,Thiruvananthapuram,Fully furnished,7238746
6652121,0,4.5,58637,Thiruvananthapuram,Semi-furnished,7517113
6370889,0,4.5,48287,Thiruvananthapuram,Unfurnished,7100607
6637267,1,4.5,20670,Thiruvananthapuram,Fully furnished,7579297
5916109,1,4.5,36295,Thiruvananthapuram,Semi-furnished,6885592
6781231,1,4.5,63520,Thiruvananthapuram,Unfurnished,7422980
6746402,2,4.5,95331,Thiruvananthapuram,Fully furnished,7801494
6643860,2,4.5,16348,Thiruvananthapuram,Semi-furnished,7369799
6227278,2,4.5,33473,Thiruvananthapuram,Unfurnished,6910872
6416490,3,4.5,77572,Thiruvananthapuram,Fully furnished,7484691
6593675,3,4.5,38353,Thiruvananthapuram,Semi-furnished,7353070
6740494,3,4.5,76131,Thiruvananthapuram,Unfurnished,7367764
6371578,4,4.5,72073,Thiruvananthapuram,Fully furnished,7409460
6004682,4,4.5,94483,Thiruvananthapuram,Semi-furnished,6999921
6481607,4,4.5,54159,Thiruvananthapuram,Unfurnished,7093671
6009986,5,4.5,98173,Thiruvananthapuram,Fully furnished,7161070
6705794,5,4.5,75393,Thiruvananthapuram,Semi-furnished,7459768
6167533,5,4.5,10805,Thiruvananthapuram,Unfurnished,6728596
6103928,6,4.5,42278,Thiruvananthapuram,Fully furnished,7076497
5939060,6,4.5,46178,Thiruvananthapuram,Semi-furnished,6779777
6647034,6,4.5,37531,Thiruvananthapuram,Unfurnished,7118814
6539881,7,4.5,79449,Thiruvananthapuram,Fully furnished,7454597
5938459,7,4.5,61575,Thiruvananthapuram,Semi-furnished,6778194
6011539,7,4.5,19092,Thiruvananthapuram,Unfurnished,6560272
6121742,8,4.5,47490,Thiruvananthapuram,Fully furnished,7029502
6298862,8,4.5,24399,Thiruvananthapuram,Semi-furnished,6933313
6240337,8,4.5,41881,Thiruvananthapuram,Unfurnished,6747294
6750566,9,4.5,18291,Thiruvananthapuram,Fully furnished,7404170
5822427,9,4.5,54924,Thiruvananthapuram,Semi-furnished,6599377
6216601,9,4.5,71386,Thiruvananthapuram,Unfurnished,6755166
6120049,10,4.5,34095,Thiruvananthapuram,Fully furnished,6918746
6652121,10,4.5,58637,Thiruvananthapuram,Semi-furnished,7197113
6370889,10,4.5,48287,Thiruvananthapuram,Unfurnished,6780607
6637267,11,4.5,20670,Thiruvananthapuram,Fully furnished,7239297
5916109,11,4.5,36295,Thiruvananthapuram,Semi-furnished,6545592
6781231,11,4.5,63520,Thiruvananthapuram,Unfurnished,7082980
6746402,12,4.5,95331,Thiruvananthapuram,Fully furnished,7441494
6643860,12,4.5,16348,Thiruvananthapuram,Semi-furnished,7009799
6227278,12,4.5,33473,Thiruvananthapuram,Unfurnished,6550872
6416490,13,4.5,77572,Thiruvananthapuram,Fully furnished,7104691
6593675,13,4.5,38353,Thiruvananthapuram,Semi-furnished,6973070
6740494,13,4.5,76131,Thiruvananthapuram,Unfurnished,6987764
6371578,14,4.5,72073,Thiruvananthapuram,Fully furnished,7009460
6004682,14,4.5,94483,Thiruvananthapuram,Semi-furnished,6599921
6481607,14,4.5,54159,Thiruvananthapuram,Unfurnished,6693671
6009986,15,4.5,98173,Thiruvananthapuram,Fully furnished,6741070
6705794,15,4.5,75393,Thiruvananthapuram,Semi-furnished,7039768
6167533,15,4.5,10805,Thiruvananthapuram,Unfurnished,6308596
7459570,0,5,81269,Thiruvananthapuram,Fully furnished,8588065
7224533,0,5,19413,Thiruvananthapuram,Semi-furnished,8093354
7124452,0,5,87570,Thiruvananthapuram,Unfurnished,7987238
7694047,1,5,83494,Thiruvananthapuram,Fully furnished,8748163
6992947,1,5,22443,Thiruvananthapuram,Semi-furnished,7901014
7565841,1,5,31113,Thiruvananthapuram,Unfurnished,8175488
7472331,2,5,23432,Thiruvananthapuram,Fully furnished,8422522
7323931,2,5,96632,Thiruvananthapuram,Semi-furnished,8290778
7683317,2,5,14297,Thiruvananthapuram,Unfurnished,8202774
7511009,3,5,80116,Thiruvananthapuram,Fully furnished,8549622
7435031,3,5,88396,Thiruvananthapuram,Semi-furnished,8330095
7719721,3,5,91935,Thiruvananthapuram,Unfurnished,8374245
7580991,4,5,8573,Thiruvananthapuram,Fully furnished,8416414
7361645,4,5,82123,Thiruvananthapuram,Semi-furnished,8231521
7824545,4,5,60530,Thiruvananthapuram,Unfurnished,8355820
7725426,5,5,55310,Thiruvananthapuram,Fully furnished,8598006
7263572,5,5,65981,Thiruvananthapuram,Semi-furnished,8090473
7004599,5,5,79332,Thiruvananthapuram,Unfurnished,7743026
7655010,6,5,86028,Thiruvananthapuram,Fully furnished,8579069
7082797,6,5,76497,Thiruvananthapuram,Semi-furnished,7943219
7187170,6,5,39801,Thiruvananthapuram,Unfurnished,7761811
7537574,7,5,53950,Thiruvananthapuram,Fully furnished,8384246
6936454,7,5,54893,Thiruvananthapuram,Semi-furnished,7749470
7492117,7,5,77178,Thiruvananthapuram,Unfurnished,8040801
7667435,8,5,47213,Thiruvananthapuram,Fully furnished,8431119
7584976,8,5,81519,Thiruvananthapuram,Semi-furnished,8263924
7750343,8,5,60386,Thiruvananthapuram,Unfurnished,8163110
7476272,9,5,58347,Thiruvananthapuram,Fully furnished,8271330
7568849,9,5,29486,Thiruvananthapuram,Semi-furnished,8098194
7745691,9,5,61568,Thiruvananthapuram,Unfurnished,8123175
7459570,10,5,81269,Thiruvananthapuram,Fully furnished,8268065
7224533,10,5,19413,Thiruvananthapuram,Semi-furnished,7773354
7124452,10,5,87570,Thiruvananthapuram,Unfurnished,7667238
7694047,11,5,83494,Thiruvananthapuram,Fully furnished,8408163
6992947,11,5,22443,Thiruvananthapuram,Semi-furnished,7561014
7565841,11,5,31113,Thiruvananthapuram,Unfurnished,7835488
7472331,12,5,23432,Thiruvananthapuram,Fully furnished,8062522
7323931,12,5,96632,Thiruvananthapuram,Semi-furnished,7930778
7683317,12,5,14297,Thiruvananthapuram,Unfurnished,7842774
7511009,13,5,80116,Thiruvananthapuram,Fully furnished,8169622
7435031,13,5,88396,Thiruvananthapuram,Semi-furnished,7950095
7719721,13,5,91935,Thiruvananthapuram,Unfurnished,7994245
7580991,14,5,8573,Thiruvananthapuram,Fully furnished,8016414
7361645,14,5,82123,Thiruvananthapuram,Semi-furnished,7831521
7824545,14,5,60530,Thiruvananthapuram,Unfurnished,7955820
7725426,15,5,55310,Thiruvananthapuram,Fully furnished,8178006
7263572,15,5,65981,Thiruvananthapuram,Semi-furnished,7670473
7004599,15,5,79332,Thiruvananthapuram,Unfurnished,7323026
2202566,0,1,45613,Madurai,Fully furnished,2654299
2329348,0,1,49683,Madurai,Semi-furnished,2579607
1506241,0,1,40562,Madurai,Unfurnished,1753980
1878865,1,1,6933,Madurai,Fully furnished,2300190
2308888,1,1,1509,Madurai,Semi-furnished,2435075
2469154,1,1,91074,Madurai,Unfurnished,2573920
2100906,2,1,24095,Madurai,Fully furnished,2481698
2258566,2,1,86575,Madurai,Semi-furnished,2558975
2196583,2,1,40815,Madurai,Unfurnished,2231196
1508521,3,1,88526,Madurai,Fully furnished,2146233
2360811,3,1,13985,Madurai,Semi-furnished,2449983
1967915,3,1,87748,Madurai,Unfurnished,2133661
1935077,4,1,16178,Madurai,Fully furnished,2282250
2427353,4,1,99341,Madurai,Semi-furnished,2659338
1597499,4,1,43375,Madurai,Unfurnished,1725524
1967289,5,1,19231,Madurai,Fully furnished,2282448
1597636,5,1,89177,Madurai,Semi-furnished,1975393
1860927,5,1,43185,Madurai,Unfurnished,1894312
2156428,6,1,13456,Madurai,Fully furnished,2380488
2349669,6,1,67642,Madurai,Semi-furnished,2466561
1938049,6,1,48937,Madurai,Unfurnished,1932579
1730388,7,1,9404,Madurai,Fully furnished,2012784
2333760,7,1,2755,Madurai,Semi-furnished,2276719
1631660,7,1,70648,Madurai,Unfurnished,1712487
2186816,8,1,15500,Madurai,Fully furnished,2336080
1858635,8,1,62030,Madurai,Semi-furnished,2009029
1543544,8,1,67941,Madurai,Unfurnished,1602564
2238447,9,1,63470,Madurai,Fully furnished,2441854
2076800,9,1,70174,Madurai,Semi-furnished,2153751
2254904,9,1,90843,Madurai,Unfurnished,2154582
2202566,10,1,45613,Madurai,Fully furnished,2334299
2329348,10,1,49683,Madurai,Semi-furnished,2259607
1506241,10,1,40562,Madurai,Unfurnished,1433980
1878865,11,1,6933,Madurai,Fully furnished,1960190
2308888,11,1,1509,Madurai,Semi-furnished,2095075
2469154,11,1,91074,Madurai,Unfurnished,2233920
2100906,12,1,24095,Madurai,Fully furnished,2121698
2258566,12,1,86575,Madurai,Semi-furnished,2198975
2196583,12,1,40815,Madurai,Unfurnished,1871196
1508521,13,1,88526,Madurai,Fully furnished,1766233
2360811,13,1,13985,Madurai,Semi-furnished,2069983
1967915,13,1,87748,Madurai,Unfurnished,1753661
1935077,14,1,16178,Madurai,Fully furnished,1882250
2427353,14,1,99341,Madurai,Semi-furnished,2259338
1597499,14,1,43375,Madurai,Unfurnished,1325524
1967289,15,1,19231,Madurai,Fully furnished,1862448
1597636,15,1,89177,Madurai,Semi-furnished,1555393
1860927,15,1,43185,Madurai,Unfurnished,1474312
3128964,0,1.5,41524,Madurai,Fully furnished,3471865
3139418,0,1.5,89157,Madurai,Semi-furnished,3404603
2459176,0,1.5,47099,Madurai,Unfurnished,2615092
3011518,1,1.5,32416,Madurai,Fully furnished,3339569
2561132,1,1.5,8455,Madurai,Semi-furnished,2764561
2558096,1,1.5,94936,Madurai,Unfurnished,2772512
2773299,2,1.5,58587,Madurai,Fully furnished,3191099
3198707,2,1.5,32861,Madurai,Semi-furnished,3277812
2613434,2,1.5,81553,Madurai,Unfurnished,2760126
2388092,3,1.5,76295,Madurai,Fully furnished,2910299
2563334,3,1.5,86313,Madurai,Semi-furnished,2885522
3145973,3,1.5,76530,Madurai,Unfurnished,3126805
2842333,4,1.5,79218,Madurai,Fully furnished,3232953
3124913,4,1.5,85986,Madurai,Semi-furnished,3282603
2236365,4,1.5,5886,Madurai,Unfurnished,2251087
2663070,5,1.5,96872,Madurai,Fully furnished,3104552
2800766,5,1.5,62485,Madurai,Semi-furnished,2953549
3143023,5,1.5,69591,Madurai,Unfurnished,3049298
2355391,6,1.5,87378,Madurai,Fully furnished,2816829
3102101,6,1.5,39833,Madurai,Semi-furnished,3099729
2790411,6,1.5,51370,Madurai,Unfurnished,2708226
2613245,7,1.5,38842,Madurai,Fully furnished,2871019
2481571,7,1.5,23106,Madurai,Semi-furnished,2556327
2319358,7,1.5,84450,Madurai,Unfurnished,2388002
2721774,8,1.5,51949,Madurai,Fully furnished,2945336
2425157,8,1.5,85286,Madurai,Semi-furnished,2613249
2821459,8,1.5,55005,Madurai,Unfurnished,2667820
2874604,9,1.5,22292,Madurai,Fully furnished,2957241
2479499,9,1.5,71324,Madurai,Semi-furnished,2584832
2920255,9,1.5,8770,Madurai,Unfurnished,2602188
3128964,10,1.5,41524,Madurai,Fully furnished,3151865
3139418,10,1.5,89157,Madurai,Semi-furnished,3084603
2459176,10,1.5,47099,Madurai,Unfurnished,2295092
3011518,11,1.5,32416,Madurai,Fully furnished,2999569
2561132,11,1.5,8455,Madurai,Semi-furnished,2424561
2558096,11,1.5,94936,Madurai,Unfurnished,2432512
2773299,12,1.5,58587,Madurai,Fully furnished,2831099
3198707,12,1.5,32861,Madurai,Semi-furnished,2917812
2613434,12,1.5,81553,Madurai,Unfurnished,2400126
2388092,13,1.5,76295,Madurai,Fully furnished,2530299
2563334,13,1.5,86313,Madurai,Semi-furnished,2505522
3145973,13,1.5,76530,Madurai,Unfurnished,2746805
2842333,14,1.5,79218,Madurai,Fully furnished,2832953
3124913,14,1.5,85986,Madurai,Semi-furnished,2882603
2236365,14,1.5,5886,Madurai,Unfurnished,1851087
2663070,15,1.5,96872,Madurai,Fully furnished,2684552
2800766,15,1.5,62485,Madurai,Semi-furnished,2533549
3143023,15,1.5,69591,Madurai,Unfurnished,2629298
3308212,0,2,30057,Madurai,Fully furnished,3720367
2993177,0,2,37836,Madurai,Semi-furnished,3318054
2919685,0,2,1029,Madurai,Unfurnished,3001224
3339501,1,2,20801,Madurai,Fully furnished,3700783
2812353,1,2,62028,Madurai,Semi-furnished,3210850
3120528,1,2,40427,Madurai,Unfurnished,3217541
3625083,2,2,85388,Madurai,Fully furnished,4034917
3704627,2,2,74729,Madurai,Semi-furnished,3891920
3360103,2,2,90896,Madurai,Unfurnished,3485649
3024565,3,2,18446,Madurai,Fully furnished,3404251
3317211,3,2,58601,Madurai,Semi-furnished,3535003
3154250,3,2,44324,Madurai,Unfurnished,3199743
3266812,4,2,70094,Madurai,Fully furnished,3672984
3431291,4,2,64605,Madurai,Semi-furnished,3605912
3608761,4,2,9309,Madurai,Unfurnished,3439138
3694531,5,2,7234,Madurai,Fully furnished,3828758
3604568,5,2,3543,Madurai,Semi-furnished,3572266
3300849,5,2,38371,Madurai,Unfurnished,3238061
3031313,6,2,84854,Madurai,Fully furnished,3462477
3481725,6,2,15054,Madurai,Semi-furnished,3471230
3328859,6,2,42135,Madurai,Unfurnished,3234630
3048499,7,2,33755,Madurai,Fully furnished,3328120
3725125,7,2,95094,Madurai,Semi-furnished,3797302
3326790,7,2,32198,Madurai,Unfurnished,3176196
3480786,8,2,25324,Madurai,Fully furnished,3601110
3080347,8,2,69870,Madurai,Semi-furnished,3214778
2955443,8,2,85571,Madurai,Unfurnished,2974393
3414564,9,2,76540,Madurai,Fully furnished,3624457
2882392,9,2,65901,Madurai,Semi-furnished,3016600
3723255,9,2,74252,Madurai,Unfurnished,3494028
3308212,10,2,30057,Madurai,Fully furnished,3400367
2993177,10,2,37836,Madurai,Semi-furnished,2998054
2919685,10,2,1029,Madurai,Unfurnished,2681224
3339501,11,2,20801,Madurai,Fully furnished,3360783
2812353,11,2,62028,Madurai,Semi-furnished,2870850
3120528,11,2,40427,Madurai,Unfurnished,2877541
3625083,12,2,85388,Madurai,Fully furnished,3674917
3704627,12,2,74729,Madurai,Semi-furnished,3531920
3360103,12,2,90896,Madurai,Unfurnished,3125649
3024565,13,2,18446,Madurai,Fully furnished,3024251
3317211,13,2,58601,Madurai,Semi-furnished,3155003
3154250,13,2,44324,Madurai,Unfurnished,2819743
3266812,14,2,70094,Madurai,Fully furnished,3272984
3431291,14,2,64605,Madurai,Semi-furnished,3205912
3608761,14,2,9309,Madurai,Unfurnished,3039138
3694531,15,2,7234,Madurai,Fully furnished,3408758
3604568,15,2,3543,Madurai,Semi-furnished,3152266
3300849,15,2,38371,Madurai,Unfurnished,2818061
3614059,0,2.5,35063,Madurai,Fully furnished,4116323
3555800,0,2.5,32656,Madurai,Semi-furnished,3886751
3510837,0,2.5,86872,Madurai,Unfurnished,3791855
3858991,1,2.5,8393,Madurai,Fully furnished,4220798
3609497,1,2.5,84812,Madurai,Semi-furnished,4019304
4096459,1,2.5,75058,Madurai,Unfurnished,4187936
3750931,2,2.5,38781,Madurai,Fully furnished,4180526
4277566,2,2.5,60441,Madurai,Semi-furnished,4448420
3937416,2,2.5,38231,Madurai,Unfurnished,3961044
3990752,3,2.5,53044,Madurai,Fully furnished,4367168
3732957,3,2.5,63125,Madurai,Semi-furnished,4013422
3797109,3,2.5,63258,Madurai,Unfurnished,3882470
4385892,4,2.5,96479,Madurai,Fully furnished,4734032
4187625,4,2.5,91597,Madurai,Semi-furnished,4392608
4342041,4,2.5,29233,Madurai,Unfurnished,4192764
3553490,5,2.5,81851,Madurai,Fully furnished,4038225
4038775,5,2.5,77456,Madurai,Semi-furnished,4217372
3978294,5,2.5,13480,Madurai,Unfurnished,3850659
4077970,6,2.5,17463,Madurai,Fully furnished,4262176
3558831,6,2.5,37380,Madurai,Semi-furnished,3731448
4176679,6,2.5,17834,Madurai,Unfurnished,3978011
3735965,7,2.5,90918,Madurai,Fully furnished,4128853
3445119,7,2.5,88956,Madurai,Semi-furnished,3723494
3688951,7,2.5,1457,Madurai,Unfurnished,3536308
4232454,8,2.5,41043,Madurai,Fully furnished,4359460
3808085,8,2.5,43693,Madurai,Semi-furnished,3862769
3985807,8,2.5,91216,Madurai,Unfurnished,3922389
3506343,9,2.5,29371,Madurai,Fully furnished,3742937
3921802,9,2.5,40439,Madurai,Semi-furnished,3903035
3564838,9,2.5,10207,Madurai,Unfurnished,3385232
3614059,10,2.5,35063,Madurai,Fully furnished,3796323
3555800,10,2.5,32656,Madurai,Semi-furnished,3566751
3510837,10,2.5,86872,Madurai,Unfurnished,3471855
3858991,11,2.5,8393,Madurai,Fully furnished,3880798
3609497,11,2.5,84812,Madurai,Semi-furnished,3679304
4096459,11,2.5,75058,Madurai,Unfurnished,3847936
3750931,12,2.5,38781,Madurai,Fully furnished,3820526
4277566,12,2.5,60441,Madurai,Semi-furnished,4088420
3937416,12,2.5,38231,Madurai,Unfurnished,3601044
3990752,13,2.5,53044,Madurai,Fully furnished,3987168
3732957,13,2.5,63125,Madurai,Semi-furnished,3633422
3797109,13,2.5,63258,Madurai,Unfurnished,3502470
4385892,14,2.5,96479,Madurai,Fully furnished,4334032
4187625,14,2.5,91597,Madurai,Semi-furnished,3992608
4342041,14,2.5,29233,Madurai,Unfurnished,3792764
3553490,15,2.5,81851,Madurai,Fully furnished,3618225
4038775,15,2.5,77456,Madurai,Semi-furnished,3797372
3978294,15,2.5,13480,Madurai,Unfurnished,3430659
4484680,0,3,68066,Madurai,Fully furnished,5018102
4364862,0,3,38193,Madurai,Semi-furnished,4681320
4477834,0,3,31518,Madurai,Unfurnished,4572493
4574868,1,3,10282,Madurai,Fully furnished,4936520
4200381,1,3,52586,Madurai,Semi-furnished,4564979
